Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
binvinutu,Adjetivo,bienvenido,Español,,OK
biscardu,Adjetivo,astuto,Español,,OK
biscazzu,Adjetivo,astuto,Español,,OK
bisicchiu,Adjetivo,desecado,Español,,OK
biunnu,Adjetivo,rubio,Español,,OK
blevi,Adjetivo,"lívido, pálido",Español,,OK
blu,Adjetivo,azul / azul,Español,,OK
blunnu,Adjetivo,rubio,Español,,OK
bobbu,Adjetivo,"bobo, tonto, mameluco",Español,,OK
bomminutu,Adjetivo,bienvenido,Español,,OK
bona,Adjetivo,buena,Español,,OK
bonu,Adjetivo,"bueno, buen / bueno, buen / bien",Español,,OK
bonuvinutu,Adjetivo,bienvenido,Español,,OK
bonvinutu,Adjetivo,bienvenido,Español,,OK
brancu,Adjetivo,blanco,Español,,OK
briscusu,Adjetivo,lleno de ojos (dicho de los quesos que tienen huecos),Español,,OK
bru,Adjetivo,azul,Español,,OK
bruna,Adjetivo,morena,Español,,OK
brunnu,Adjetivo,rubio,Español,,OK
brunu,Adjetivo,moreno,Español,,OK
bruttu,Adjetivo,feo / feo,Español,,OK
buiscu,Adjetivo,"bovino, vacuno",Español,,OK
buona,Adjetivo,buena,Español,,OK
buonu,Adjetivo,"bueno, buen / bueno, buen",Español,,OK
busara,Adjetivo,detto di annata abbondante di ampelodesmi,Italiano,,OK
buzzusu,Adjetivo,bocioso,Español,,OK
bòlicu,Adjetivo,diabólico,Español,,OK
cacchi,Adjetivo,alguno,Español,,OK
caiordu,Adjetivo,sucio,Español,,OK
cajordu,Adjetivo,sucio,Español,,OK
calabbrisi centru-miridiunali,Adjetivo,dialectos calabreses centro-meridionales|dialecto calabrés centro-meridional,Español,,OK
calabbrisi sittintriunali,Adjetivo,dialectos calabreses septentrionales|dialecto calabrés septentrional,Español,,OK
callu,Adjetivo,caliente,Español,,OK
calmu,Adjetivo,calmo,Español,,OK
caminatu,Adjetivo,andado,Español,,OK
campiriscu,Adjetivo,"de guarda (de ""'''camperi'''"" guarda privado de terrenos cultivados)",Español,,OK
camputu,Adjetivo,corpulento,Español,,OK
